type,latitude,longitude,name
village,15.4425614,73.8950534,Village Pilar ahead
village,15.7241008,73.6887317,Village Tiracol ahead
village,15.7740829,73.7050376,Village Ajgaon ahead
village,15.7860986,73.7844058,Village Aros ahead
village,15.7607733,73.9251443,Village Kalna ahead
village,15.8673,73.7366,Village Talavda ahead
village,15.9667211,74.0105281,Village Amboli ahead
village,16.1160798,74.2100716,Village Ajara ahead
village,16.1549137,73.6815284,Village Kasal ahead
village,16.1625004,74.2606421,Village Bhadwan ahead
village,16.2165083,74.071783,Village Kadgaon ahead
village,16.3354817,74.2824235,Village Kapsi ahead
village,16.3740177,73.7924545,Village Phondaghat ahead
village,16.4109985,73.996061,Village Radhanagri ahead
village,16.3940635,74.1907099,Village Murgud ahead
village,16.5584336,73.6188009,Village Kharepatan ahead
village,16.6947926,74.6003892,Village Narsoba Vadi ahead
village,16.7177627,73.3491633,Village Wadapeth ahead
village,16.7336685,74.6023832,Village Shirol ahead
village,16.8140722,73.3224005,Village Purnagad ahead
village,16.834967,74.3152367,Village Wadgaon Kasba ahead
village,16.8670689,74.7163333,Village Malgaon ahead
village,16.9181006,73.9331923,Village Malkapur ahead
village,16.9519021,74.7193358,Village Bhose ahead
village,16.9465542,75.1826123,Village Bilur ahead
village,17.0076392,74.2611433,Village Kameri ahead
village,17.0067674,74.8651451,Village Kavathe Mahankal ahead
village,17.0603027,74.8640478,Village Kuchi ahead
village,17.0638489,73.6208971,Village Devrukh ahead
village,17.0823184,73.3009088,Village Nevare ahead
village,17.1250143,75.5749868,Village Karajagi ahead
village,17.0917209,74.22458,Village Nerle ahead
village,17.1260345,74.1866897,Village Kasegaon ahead
village,17.1450865,74.936543,Village Nagaj ahead
village,17.2615641,74.7150349,Village Khanapur ahead
village,17.2556008,75.5970009,Village Umadi ahead
village,17.2727073,73.5064118,Village Makhjan ahead
village,17.2798631,75.2805273,Village Gherdi ahead
village,17.3187641,75.2179445,Village Javale ahead
village,17.3596886,76.3692208,Village Dudhani ahead
village,17.3919834,73.7422332,Village Koynanagar ahead
village,17.3600672,73.2295325,Village Hedavi ahead
village,17.3770638,73.728168,Village Helwak ahead
village,17.4009578,74.1006345,Village Umbraj ahead
village,17.4142017,73.5382381,Village Sanvarda ahead
village,17.4226767,74.9391219,Village Atpadi ahead
village,17.3925135,76.1663796,Village Nagansur ahead
village,17.4388814,73.2068178,Village Palshet ahead
village,17.4334885,75.5155791,Village Maravade ahead
village,17.472234,73.6183655,Village Nagave ahead
village,17.4782697,73.3699709,Village Marg Tambhane ahead
village,17.4926339,75.8277359,Village Mandrup ahead
village,17.5279932,74.9247305,Village Dighanchi ahead
village,17.5400537,74.3344082,Village Aundh ahead
village,17.5468154,75.7571614,Village Kandalgaon ahead
village,17.6078103,75.0963774,Village Mahud Budrukh ahead
village,17.6149452,76.3562495,Village Wagdari ahead
village,17.6597398,75.7706891,Village Shingoli ahead
village,17.6610193,74.3663602,Village Khatav ahead
village,17.6798714,74.9668544,Village Piliv ahead
village,17.6733303,75.6564673,Village Kurul ahead
village,17.6971696,76.4252463,Village Alur ahead
village,17.7023723,74.5418917,Village Dahiwadi ahead
village,17.7076458,74.3183898,Village Pusegaon ahead
village,17.7265222,76.1201854,Village Musti ahead
village,17.7871821,76.4730981,Village Muram ahead
village,17.8365241,73.0912997,Village Harnai ahead
village,17.8102937,76.5964745,Village Ganjoti ahead
village,17.8743445,75.8336702,Village Vadala ahead
village,17.8420973,74.2827057,Village Mol ahead
village,17.8643202,76.477993,Village Dalimb ahead
village,17.9150184,76.2649581,Village Horti ahead
village,17.8979576,75.5753063,Village Angar ahead
village,17.9042649,75.9822174,Village Sangvi Kati ahead
village,17.9001985,73.2382794,Village Jambul Nagar ahead
village,17.921115,73.0632459,Village Kelshi ahead
village,17.9606136,73.9835486,Village Surul ahead
village,17.9850019,73.4671543,Village Poladpur ahead
village,18.0583963,74.0148194,Village Khandala ahead
village,18.0277111,75.1948716,Village Tembhurni ahead
village,18.0674968,76.3526121,Village Bhatagli ahead
village,18.0861624,74.914877,Village Nimbgaon Ketki ahead
village,18.1272864,75.4988199,Village Mhaisgaon ahead
village,18.1322,73.5718564,Village Varandh ahead
village,18.1410148,76.1959886,Village Bembli ahead
village,18.1415742,75.7367363,Village Pangaon ahead
village,18.2771355,74.3167469,Village Morgaon ahead
village,18.3064817,76.2875244,Village Kond ahead
village,18.3155566,75.9614883,Village Yedshi ahead
village,18.3422488,77.4433812,Village Hanegaon ahead
village,18.3953529,74.5408635,Village Kurkumb ahead
village,18.39091,75.8698576,Village Yermala ahead
village,18.4372682,74.925583,Village Rashin ahead
village,18.444817,75.8350969,Village Terkheda ahead
village,18.4767162,74.2731496,Village Yavat ahead
village,18.5000153,73.513737,Village Mulshi ahead
village,18.4770002,77.4947278,Village Karadkhel ahead
village,18.4817154,73.2971141,Village Nandgaon ahead
village,18.5094065,76.8439443,Village Latur Road ahead
village,18.5211724,77.0829894,Village Wadhawana ahead
village,18.5501022,74.5823681,Village Kashti ahead
village,18.5542897,72.9261338,Village Revadanda ahead
village,18.5676,72.9331,Village Chaul ahead
village,18.609658,72.9026666,Village Nagaon ahead
village,18.638616,76.494174,Village Bardapur ahead
village,18.6290607,77.1783024,Village Jalkot ahead
village,18.6373253,75.4752016,Village Kharda ahead
village,18.6322563,76.1119908,Village Yusuf Wadgaon ahead
village,18.6473134,75.0922483,Village Jalgaon ahead
village,18.703736,74.629916,Village Pargaon Sudrik ahead
village,18.7090735,75.690421,Village Chausala ahead
village,18.733595,76.5553518,Village Ghat Nandura ahead
village,18.7311633,75.026163,Village Mirajgaon ahead
village,18.7683951,76.8248352,Village Andhori ahead
village,18.7746673,77.7215925,Village Biloli ahead
village,18.811738,77.3729585,Village Kautha ahead
village,18.8479642,76.7637088,Village Supa ahead
village,18.8315338,74.0536443,Village Pabal ahead
village,18.8380914,74.2272835,Village Malthan ahead
village,18.8321669,73.2852464,Village Khalapur ahead
village,18.9200483,75.7457518,Village Pali ahead
village,18.9597444,74.5341896,Village Supa ahead
village,19.0043286,73.7473487,Village Hundanwadi ahead
village,18.9982513,75.5572497,Village Khokarmoha ahead
village,19.0106744,74.4335632,Village Parner ahead
village,19.0304554,77.2160038,Village Sonkhed ahead
village,19.0653612,74.7974941,Village Nimbodi ahead
village,19.1187329,74.0999078,Village Bori Budruk ahead
village,19.1430582,73.638586,Village Ambegaon ahead
village,19.1887099,80.1664169,Village Repanpalli ahead
village,19.2258807,77.4631822,Village Barad ahead
village,19.2703536,80.4586972,Village Pasewada ahead
village,19.3003161,75.4727559,Village Balam Takli ahead
village,19.3258753,78.1081277,Village Shivani ahead
village,19.3668447,73.1759578,Village Padagha ahead
village,19.3543392,75.2222307,Village Shevgaon ahead
village,19.37657,76.2232575,Village Ashti ahead
village,19.4243313,74.5491544,Village Kangar Bk ahead
village,19.442905,73.4585059,Village Shenwa ahead
village,19.4325419,74.9070425,Village Wadala Bahiroba ahead
village,19.4498924,74.6004443,Village Mandavagan ahead
village,19.4869787,73.0277754,Village Vajreshwari ahead
village,19.4964895,76.3483389,Village Satona ahead
village,19.51777,74.3670418,Village Ashwi ahead
village,19.532067,74.1194987,Village Dhandharphal ahead
village,19.566954,77.8423365,Village Dhanki ahead
village,19.6377874,73.9680003,Village Samsherpur ahead
village,19.6048622,75.0124759,Village Pravara Sangam ahead
village,19.6464428,72.7196769,Village Mahim ahead
village,19.6838885,77.5622601,Village Mulawa ahead
village,19.6993333,72.7127647,Village Shirgaon ahead
village,19.7813253,73.9747436,Village Dubere ahead
village,19.8085935,78.8536126,Village Mukutban ahead
village,19.7980071,75.2248403,Village Waluj Buzurg ahead
village,19.8039153,74.2489716,Village Wavi ahead
village,19.7912521,77.7689466,Village Mahagaon ahead
village,19.8674434,75.7262292,Village Badnapur ahead
village,19.8637249,80.0248726,Village Haladwahi ahead
village,19.872335,78.1233202,Village Shindkhed ahead
village,19.8757445,72.6854957,Village Tarapur ahead
village,19.8916662,73.1483765,Village Dengachimet ahead
village,19.8919924,77.4450312,Village Khandala ahead
village,19.9082,78.9038,Village Kayar ahead
village,19.9111112,72.9541755,Village Kasa Khurd ahead
village,19.9353722,73.3408052,Village Mokhada ahead
village,19.939157,75.2195952,Village Daulatabad ahead
village,19.9246627,73.0480377,Village Kasa Bk ahead
village,20.012265,74.5731488,Village Andarsul ahead
village,20.0208237,76.3754848,Village Bibi ahead
village,20.0535024,76.9794307,Village Rithad ahead
village,20.0869532,76.5187,Village Sultanpur ahead
village,20.0999206,78.5317609,Village Umari Road ahead
village,20.1260844,75.9928167,Village Tembhurni ahead
village,20.1154419,73.4533399,Village Harsul ahead
village,20.1426837,74.2377507,Village Lasalgaon ahead
village,20.1470926,77.9561519,Village Jawala ahead
village,20.1809114,74.78216,Village Talwada ahead
village,20.1630878,75.1380484,Village Hatnoor ahead
village,20.1674401,78.0585507,Village Rui ahead
village,20.1838425,76.7206581,Village Dongaon ahead
village,20.22447,78.4655927,Village Mohada ahead
village,20.2278636,72.7511725,Village Nargol ahead
village,20.2595702,73.5296917,Village Khadkipada ahead
village,20.2710221,80.3095434,Village Dhanora ahead
village,20.2951851,75.3394405,Village Pishor ahead
village,20.2922302,79.6566541,Village Sindewahi ahead
village,20.3168697,78.2963941,Village Jodmoha ahead
village,20.3306136,73.8894554,Village Vani ahead
village,20.3278566,80.4719412,Village Muramgaon ahead
