Village_Name,Village_Name_English,Latitude,Longitude
Pilar,,15.4425614,73.8950534
Tiracol,,15.7241008,73.6887317
Ajgaon,,15.7740829,73.7050376
Aros,Aros,15.7860986,73.7844058
Kalna,,15.7607733,73.9251443
Talavda,,15.8673,73.7366
Amboli,,15.9667211,74.0105281
Ajara,,16.1160798,74.2100716
Kasal,,16.1549137,73.6815284
Bhadwan,,16.1625004,74.2606421
Kadgaon,,16.2165083,74.071783
Kapsi,,16.3354817,74.2824235
Phondaghat,,16.3740177,73.7924545
Radhanagri,,16.4109985,73.996061
Murgud,Murgud,16.3940635,74.1907099
Kharepatan,,16.5584336,73.6188009
Narsoba Vadi,,16.6947926,74.6003892
Wadapeth,,16.7177627,73.3491633
Shirol,,16.7336685,74.6023832
Purnagad,,16.8140722,73.3224005
Wadgaon Kasba,,16.834967,74.3152367
Malgaon,,16.8670689,74.7163333
Malkapur,,16.9181006,73.9331923
Bhose,,16.9519021,74.7193358
Bilur,,16.9465542,75.1826123
Kameri,,17.0076392,74.2611433
Kavathe Mahankal,,17.0067674,74.8651451
Kuchi,,17.0603027,74.8640478
Devrukh,,17.0638489,73.6208971
Nevare,,17.0823184,73.3009088
Karajagi,,17.1250143,75.5749868
Nerle,,17.0917209,74.22458
Kasegaon,,17.1260345,74.1866897
Nagaj,,17.1450865,74.936543
Khanapur,,17.2615641,74.7150349
Umadi,,17.2556008,75.5970009
Makhjan,,17.2727073,73.5064118
Gherdi,,17.2798631,75.2805273
Javale,,17.3187641,75.2179445
Dudhani,,17.3596886,76.3692208
Koynanagar,,17.3919834,73.7422332
Hedavi,,17.3600672,73.2295325
Helwak,,17.3770638,73.728168
Umbraj,,17.4009578,74.1006345
Sanvarda,,17.4142017,73.5382381
Atpadi,,17.4226767,74.9391219
Nagansur,,17.3925135,76.1663796
Palshet,,17.4388814,73.2068178
Maravade,,17.4334885,75.5155791
Nagave,,17.472234,73.6183655
Marg Tambhane,,17.4782697,73.3699709
Mandrup,,17.4926339,75.8277359
Dighanchi,,17.5279932,74.9247305
Aundh,,17.5400537,74.3344082
Kandalgaon,,17.5468154,75.7571614
Mahud Budrukh,,17.6078103,75.0963774
Wagdari,,17.6149452,76.3562495
Shingoli,,17.6597398,75.7706891
Khatav,,17.6610193,74.3663602
Piliv,,17.6798714,74.9668544
Kurul,,17.6733303,75.6564673
Alur,,17.6971696,76.4252463
Dahiwadi,,17.7023723,74.5418917
Pusegaon,,17.7076458,74.3183898
Musti,,17.7265222,76.1201854
Muram,,17.7871821,76.4730981
Harnai,Pajpandhari,17.8365241,73.0912997
Ganjoti,Gunjoti,17.8102937,76.5964745
Vadala,,17.8743445,75.8336702
Mol,,17.8420973,74.2827057
Dalimb,,17.8643202,76.477993
Horti,,17.9150184,76.2649581
Angar,,17.8979576,75.5753063
Sangvi Kati,,17.9042649,75.9822174
Jambul Nagar,,17.9001985,73.2382794
Kelshi,,17.921115,73.0632459
Surul,,17.9606136,73.9835486
Poladpur,,17.9850019,73.4671543
Khandala,,18.0583963,74.0148194
Tembhurni,,18.0277111,75.1948716
Bhatagli,,18.0674968,76.3526121
Nimbgaon Ketki,,18.0861624,74.914877
Mhaisgaon,,18.1272864,75.4988199
Varandh,,18.1322,73.5718564
Bembli,,18.1410148,76.1959886
Pangaon,,18.1415742,75.7367363
Morgaon,Morgaon,18.2771355,74.3167469
Kond,,18.3064817,76.2875244
Yedshi,,18.3155566,75.9614883
Hanegaon,,18.3422488,77.4433812
Kurkumb,,18.3953529,74.5408635
Yermala,,18.39091,75.8698576
Rashin,,18.4372682,74.925583
Terkheda,,18.444817,75.8350969
Yavat,,18.4767162,74.2731496
Mulshi,Mulshi,18.5000153,73.513737
Karadkhel,,18.4770002,77.4947278
Nandgaon,,18.4817154,73.2971141
Latur Road,,18.5094065,76.8439443
Wadhawana,,18.5211724,77.0829894
Kashti,,18.5501022,74.5823681
Revadanda,,18.5542897,72.9261338
Chaul,,18.5676,72.9331
Nagaon,,18.609658,72.9026666
Bardapur,,18.638616,76.494174
Jalkot,,18.6290607,77.1783024
Kharda,,18.6373253,75.4752016
Yusuf Wadgaon,,18.6322563,76.1119908
Jalgaon,,18.6473134,75.0922483
Pargaon Sudrik,,18.703736,74.629916
Chausala,,18.7090735,75.690421
Ghat Nandura,,18.733595,76.5553518
Mirajgaon,,18.7311633,75.026163
Andhori,,18.7683951,76.8248352
Biloli,,18.7746673,77.7215925
Kautha,,18.811738,77.3729585
Supa,,18.8479642,76.7637088
Pabal,,18.8315338,74.0536443
Malthan,,18.8380914,74.2272835
Khalapur,,18.8321669,73.2852464
Pali,,18.9200483,75.7457518
Supa,,18.9597444,74.5341896
Hundanwadi,Hundanwadi,19.0043286,73.7473487
Khokarmoha,,18.9982513,75.5572497
Parner,,19.0106744,74.4335632
Sonkhed,,19.0304554,77.2160038
Nimbodi,,19.0653612,74.7974941
Bori Budruk,,19.1187329,74.0999078
Ambegaon,,19.1430582,73.638586
Repanpalli,,19.1887099,80.1664169
Barad,,19.2258807,77.4631822
Pasewada,,19.2703536,80.4586972
Balam Takli,,19.3003161,75.4727559
Shivani,,19.3258753,78.1081277
Padagha,,19.3668447,73.1759578
Shevgaon,,19.3543392,75.2222307
Ashti,,19.37657,76.2232575
Kangar Bk,,19.4243313,74.5491544
Shenwa,,19.442905,73.4585059
Wadala Bahiroba,Wadala Bahiroba,19.4325419,74.9070425
Mandavagan,,19.4498924,74.6004443
Vajreshwari,,19.4869787,73.0277754
Satona,,19.4964895,76.3483389
Ashwi,,19.51777,74.3670418
Dhandharphal,,19.532067,74.1194987
Dhanki,,19.566954,77.8423365
Samsherpur,,19.6377874,73.9680003
Pravara Sangam,,19.6048622,75.0124759
Mahim,,19.6464428,72.7196769
Mulawa,,19.6838885,77.5622601
Shirgaon,,19.6993333,72.7127647
Dubere,,19.7813253,73.9747436
Mukutban,,19.8085935,78.8536126
Waluj Buzurg,,19.7980071,75.2248403
Wavi,,19.8039153,74.2489716
Mahagaon,,19.7912521,77.7689466
Badnapur,,19.8674434,75.7262292
Haladwahi,,19.8637249,80.0248726
Shindkhed,,19.872335,78.1233202
Tarapur,,19.8757445,72.6854957
Dengachimet,,19.8916662,73.1483765
Khandala,,19.8919924,77.4450312
Kayar,,19.9082,78.9038
Kasa Khurd,,19.9111112,72.9541755
Mokhada,,19.9353722,73.3408052
Daulatabad,,19.939157,75.2195952
Kasa Bk,,19.9246627,73.0480377
Andarsul,,20.012265,74.5731488
Bibi,Bibi,20.0208237,76.3754848
Rithad,,20.0535024,76.9794307
Sultanpur,Sultanpur,20.0869532,76.5187
Umari Road,,20.0999206,78.5317609
Tembhurni,,20.1260844,75.9928167
Harsul,,20.1154419,73.4533399
Lasalgaon,,20.1426837,74.2377507
Jawala,,20.1470926,77.9561519
Talwada,,20.1809114,74.78216
Hatnoor,,20.1630878,75.1380484
Rui,,20.1674401,78.0585507
Dongaon,Dongaon,20.1838425,76.7206581
Mohada,,20.22447,78.4655927
Nargol,,20.2278636,72.7511725
Khadkipada,,20.2595702,73.5296917
Dhanora,,20.2710221,80.3095434
Pishor,,20.2951851,75.3394405
Sindewahi,,20.2922302,79.6566541
Jodmoha,,20.3168697,78.2963941
Vani,,20.3306136,73.8894554
Muramgaon,,20.3278566,80.4719412
Ladkhed,,20.3465243,77.9162543
Pardi,,20.348705,78.7125921
Shelu Bazar,,20.3709912,77.2508481
Amdapur,,20.4086729,76.4445233
Ralegaon,,20.4227234,78.5218429
Wadner,,20.4386953,78.743906
Nagad,,20.4610702,75.1738233
Saudane,,20.4540804,74.3977057
Kalwan,,20.490904,74.0240765
Malewada,,20.4895261,80.3737745
Dharampur,,20.5360672,73.1740929
Surgana,,20.5592432,73.6375614
Bramhangaon,,20.5549542,74.2950493
Mehunbare,,20.5711899,74.9470285
Kherda Bk,,20.5902418,77.4376716
Phardapur,,20.5842349,75.7233954
Babhulgaon,,20.55657,78.165693
Jamb,,20.6132385,78.929103
Deoli,,20.6530047,78.4773427
Pahur,,20.7082161,75.6813626
Chinchli,,20.7436781,73.9183986
Mana,,20.7679433,77.4798953
Markekasa,,20.7729426,80.5173453
Arvi,,20.7468462,74.7140907
Jamathi,,20.8082152,75.9710079
Gandeva,,20.865059,73.079887
Sailu,,20.8375277,78.7067438
Ajang,,20.8799733,74.8903378
Mhasve,,20.8805842,75.1493483
Chichgad,,20.8950576,80.3795316
Kusumbe,,20.9133018,74.5962882
Butibori,,20.9281928,79.0070802
Ner,,20.9427436,74.5131182
Wadhona,,20.9979588,78.3456355
Mahuva,,21.0180294,73.1388718
Walgaon,,21.0091975,77.7036281
Umbhrat,,21.015079,72.7366138
Teosa,,21.0870661,78.0654751
Assegaon,,21.0902,77.5995
Pachkhedi,,21.0971235,79.6878903
Hiwarkhed,,21.1293838,76.8561531
Khambha,,21.1410665,71.2537125
Chalthan,,21.1545559,72.9609878
Kardha,,21.1447542,79.6730974
Uchhal,,21.1772912,73.7687744
Visarwadi,,21.1815369,73.9658408
Titane,,21.1826931,74.2942762
Adavad,,21.2201783,75.4447418
Shergadh,,21.2360573,70.3370309
Sakharitola,,21.267769,80.4135964
Dhapewada Bk,,21.3025033,78.9128585
Mohpa,,21.3086467,78.8301396
Dahivad,,21.3427385,74.9443965
Mundikota,,21.3673482,79.8424404
Goregaon,,21.3493486,80.2069714
Jesar,,21.3699105,71.6684114
Gangajhari,,21.4455855,80.0518979
Kantiyajal,,21.4665015,72.6783305
Navibandar,,21.4879,69.7514
Prakasha,,21.514157,74.3557209
Vaghaniya,,21.5115316,71.4057841
Sagbara,,21.5453441,73.7920866
Bhesan,,21.5527226,70.7069913
Damnagar,,21.6950878,71.5160345
Kunkavav,,21.6342,70.9804
Derdi,,21.7502084,70.9948575
Dhank,,21.7747571,70.1315151
Vagra,,21.8447606,72.8448749
Babra,,21.8485451,71.3036656
Devla,,21.9973656,72.5757515
Bhogat,,21.9922874,69.2429423
Chanod,Chanod,21.9866962,73.4545373
Atkot,,22.0103536,71.1485723
Kalianpur,,22.0182663,69.4031447
Jasdan,,22.0399,71.2046
Baradia,,22.1963529,69.0200511
Nasvadi,,22.0435079,73.7270058
Ram para,,22.1224148,70.9342075
Kavi,,22.1999197,72.6354288
Goinj,,22.3069,69.5567
Jambughoda,,22.3686545,73.7298572
Chotila,,22.4243903,71.1992399
Doliya,,22.5229971,71.3677411
Savli,,22.562511,73.2230996
Padgol,,22.5899513,72.8286389
Nandoli,,22.6174238,72.6801543
Muli,,22.6375445,71.4576782
Dhanpur,,22.6367611,74.098681
Ghoghamba,,22.5714021,73.6459606
Matar,,22.7073839,72.6623162
Thasra,,22.7971776,73.2100076
Mahemdabad,,22.8218366,72.7782897
Vana,,22.8746386,71.7093619
Morwa,,22.9184516,73.8426033
Shahera,,22.9505383,73.6311429
દેઢિયા,Dedhiya,22.9834878,69.1244993
Sanjeli,,23.0583328,73.9710668
સમાંતર,Samatra,23.1914434,69.4978387
Fatehpura,,23.2571297,74.0391384
Chhatral,,23.2779379,72.4450501
Dhansura,,23.3467,73.2054
Bakor,,23.3423856,73.6050587
Harsol,,23.3625336,73.0177635
Sankeshvar,,23.5087287,71.7886946
Bechraji,,23.4995137,72.0438728
Manfara,Manfara,23.4838344,70.3490004
ગુહાર મોટી,Ghuar Moti,23.6360678,68.5391717
Harij,,23.6931596,71.9008666
Varahi,,23.7912418,71.4436557
લખપત,Lakhpat,23.8268882,68.7751578
Vijaynagar Crossing,,23.8895668,73.0338896
Ranakpur,,23.943721,71.7971842
Vagdod,,23.9890672,72.1511656
Bhabhar,,24.0701471,71.5976062
Kankrej,,24.0387783,71.9411013
Suigam,,24.1515492,71.3593406
Bhildi,,24.1900667,72.0083387
Vav,,24.363947,71.5123139
Sadanapua,,22.5995174,73.0113536
Karamsad,,22.541545,72.9048945
Samarkha,,22.6048368,72.9829966
Chaklasi,,22.6513989,72.9442452
Ajarpura,,22.6395239,72.9847507
Kasor,,22.6340857,73.0124186
Bakrol,,22.5642544,72.9111088
Mogri,,22.5275758,72.9321631
Bhadaran,,22.359562,72.9017273
Gajna,,22.2791056,72.9000707
Vasna,,22.3890184,72.9121348
Pamol,,22.445136,72.9424256
Bodal,,22.4265516,72.957179
