type,latitude,longitude,name
forest,17.560553,74.987821,Forest area ahead or closed
forest,17.550419,74.976835,Forest area ahead or closed
speedBreaker,17.550276,74.976436,Speed breaker ahead
speedBreaker,17.528001,74.929622,dighanchi man river speed breaker
speedBreaker,17.527827,74.928005,dighanchi atpadi road village speed breaker
speedBreaker,17.527624,74.923580,dighanchi highschool speed breaker
speedBreaker,17.527709,74.921187,dighanchi mayani road speed breaker
speedBreaker,17.528523,74.911017,dighanchi mayani road speed breaker 1
speedBreaker,17.528557,74.911872,dighanchi mayani road speed breaker 2
sharpCurve,17.528836,74.935734,dighanchi khavaspur road crossing sharp curve
speedBreaker,17.488099,74.939406,vithalapur speed breaker
speedBreaker,17.420366,74.941208,atpadi speed breaker
